lexid,filename,word,sentence
adj ppr. [1] md.,mbh03_14654.xml,kftam,"['saraH', 'ca', 'idam', 'asya', 'dakziRA', 'dattABiH', 'goBiH', 'ati', 'kramamARABiH', 'kftam']"
adj ppr. [1] md.,mbh03_14651.xml,visaYjYa,"['sa', 'muhUrtam', 'DyAtvA', 'bAzpa', 'pUrRa', 'nayanaH', 'ud', 'vigna', 'hfdayaH', 'vepamAnaH', 'visaYjYa', 'kalpaH', 'prAYjaliH', 'abravIt']"
 cab,mbh03_14467.xml,ni,"['te', 'BItAH', 'maRqUka', 'rAjYe', 'yaTA', 'vfttam', 'ni', 'avedayan']"
 cab,pt584.xml,saYjIvaka,"['araRya', 'DarmAt', 'vi', 'yojya', 'grAma', 'Darmezu', 'ni', 'yojitaH', 'kim', 'bahunA', 'prati', 'aham', 'saYjIvaka', 'piNgalakO', 'kevalam', 'rahasyam', 'miTaH', 'mantrayete']"
gerundive_tavya,pt1317.xml,Bavitavyam,"['anena', 'tasya', 'rAjYaH', 'GAtakena', 'Bavitavyam']"
gerundive_tavya,pt190.xml,kartavyam,"['rAja', 'mAtari', 'devyAm', 'ca', 'kumAre', 'muKya', 'mantriRi', 'puras', 'hite', 'pratIhAre', 'kartavyam', 'rAjavat', 'sadA']"
adj_comp,pt1445.xml,drutataram,"['kiyantam', 'api', 'aDvAnam', 'gatvA', 'yaTA', 'Sakti', 'kam', 'api', 'aSana', 'upAyam', 'kftvA', 'drutataram', 'punaH', 'A', 'gacCa']"
adj_comp,pt1068.xml,laGutarasya,"['svAmin', 'adya', 'samasta', 'mfgEH', 'jAti', 'krameRa', 'prastAvam', 'vi', 'jYAya', 'laGutarasya', 'tarasya', 'mama', 'tataH', 'paYca', 'SaSakEH', 'saha', 'aham', 'pra', 'IzitaH']"
ctp_na,pt540.xml,cirAt,"['asya', 'sammAnasya', 'a', 'cirAt', 'eva', 'drakzyasi', 'rAja', 'prasAda', 'Adi', 'Palam']"
ctp_na,pt857.xml,BAve,"['tatra', 'praTamam', 'tAvat', 'svAmi', 'amAtya', 'janapada', 'durga', 'koSa', 'daRqa', 'mitrARAm', 'ekatamasya', 'tamaH', 'yA', 'api', 'a', 'BAve', 'a', 'BAv', 'A', 'Kyam', 'ava', 'gantavyam']"
noun_action,pt846.xml,pAnam,"['striyaH', 'akzAH', 'mfgayA', 'pAnam', 'vAk', 'pAruzyam', 'ca', 'paYcamam', 'mahat', 'ca', 'daRqa', 'pAruzyam', 'arTa', 'dUzaRam', 'eva', 'ca']"
noun_action,pt859.xml,pAnam,"['prasaNgaH', 'pUrvam', 'uktaH', 'eva', 'striyaH', 'akzAH', 'mfgayA', 'pAnam', 'ityAdi']"
cau ppf_actn,pt560.xml,yojayAm,"['evam', 'an', 'ekaDA', 'vi', 'nis', 'citya', 'dantilam', 'sam', 'A', 'hUya', 'nija', 'aNga', 'ABaraRAni', 'vastrARi', 'ca', 'sam', 'yojya', 'sva', 'aDikAre', 'ni', 'yojayAm', 'Asa']"
adj_ctp_upapada,pt1752.xml,antakaraH,"['aTa', 'kadA', 'cit', 'tasya', 'antakaraH', 'mftyuH', 'ulUka', 'rUpeRa', 'A', 'yAtaH']"
adj_ctp_upapada,pt649.xml,DaraH,"['SUdraH', 'vA', 'yadi', 'vA', 'anyaH', 'api', 'cARqAlaH', 'vA', 'jawA', 'DaraH', 'dIkzitaH', 'Siva', 'mantreRa', 'sa', 'Basma', 'aNgaH', 'dvijaH', 'Bavet']"
noun_ctp_dvigu,pt1068.xml,SaSakEH,"['svAmin', 'adya', 'samasta', 'mfgEH', 'jAti', 'krameRa', 'prastAvam', 'vi', 'jYAya', 'laGutarasya', 'tarasya', 'mama', 'tataH', 'paYca', 'SaSakEH', 'saha', 'aham', 'pra', 'IzitaH']"
noun_ctp_dvigu,pt1125.xml,guRataraH,"['tataH', 'tat', 'pratiSabdena', 'dvi', 'guRataraH', 'nAdaH', 'kUpAt', 'sam', 'ut', 'sTitaH']"
pron_p1,pt525.xml,mayA,"['aparaM', 'mayA', 'asya', 'BU', 'pateH', 'anyasya', 'vA', 'kasyacit', 'svapne', 'api', 'vAk', 'mAtreRa', 'api', 'na', 'kftam', 'a', 'hitam']"
ppr. [2] md.,mbh03_14515.xml,bruvARam,"['aTa', 'enam', 'evam', 'bruvARam', 'abravIt', 'rAjA']"
ppr. [2] md.,mbh03_14422.xml,SayAnaH,"['tataH', 'SayAnaH', 'maDuram', 'gIta', 'Sabdam', 'aSfRot']"
adj_ctp_prAdi,pt1294.xml,AkulaH,"['itaH', 'ca', 'kOlikaH', 'mukta', 'surata', 'AramBaH', 'ati', 'AkulaH', 'sva', 'manasA', 'parI', 'A', 'locitavAn']"
adj_ctp_prAdi,pt863.xml,boDaH,"['su', 'boDaH', 'eva', 'kAma', 'jaH', 'vargaH']"
gati,pt1234.xml,parasAt,"['jananI', 'manaH', 'harati', 'jAtavatI', 'pari', 'varDate', 'saha', 'SucA', 'suhfdAm', 'parasAt', 'kftA', 'api', 'kurute', 'malinam', 'duratikramAH', 'duhitaraH', 'vipadaH']"
prap[1],pt1612.xml,vasantyAH,"['evam', 'ca', 'tasyAH', 'tatra', 'vasantyAH', 'quRqukaH', 'nAma', 'matkuRaH', 'vAyu', 'pra', 'IritaH', 'tasmin', 'Sayane', 'patitaH']"
prap[1],pt1770.xml,tizWan,"['tizWan', 'aham', 'iha', 'AvAse', 'vfdDI', 'BUtaH', 'na', 'ca', 'anyAm', 'aham', 'kAm', 'cit', 'api', 'diSam', 'jAnAmi']"
noun_pn,pt52.xml,ropyam,"['dAkziRAtyezu', 'jana', 'padezu', 'purandarapurasya', 'fdDi', 'sarva', 'guRa', 'sam', 'pannam', 'pfTivyAH', 'cUqA', 'maRi', 'ratna', 'BUtam', 'kElAsa', 'SiKara', 'Akfti', 'viviDa', 'yantra', 'praharaRa', 'AcaraRa', 'pari', 'pUrRa', 'go', 'pura', 'awwAlakam', 'visaNkawa', 'utkawa', 'dfQa', 'pariGa', 'kapAwa', 'toraRa', 'argala', 'upagata', 'indra', 'kIla', 'vipula', 'dvAram', 'su', 'vi', 'hita', 'SfNgAwaka', 'catuzpaTa', 'prati', 'sTita', 'an', 'eka', 'devatA', 'Ayatanam', 'pariKA', 'pari', 'karita', 'ut', 'Srita', 'hima', 'giri', 'sadfSa', 'AkAra', 'prAkAra', 'valaya', 'pari', 'vezwitam', 'mahilA', 'ropyam', 'nAma', 'nagaram']"
noun_pn,pt5.xml,mahilAropyaM,"['asti', 'dAkziRAtye', 'jana', 'pade', 'mahilAropyaM', 'nAma', 'nagaram']"
ppr. [1] md.,mbh12_26038.xml,varDamAnam,"['aTa', 'indraH', 'tam', 'vi', 'varDamAnam', 'soma', 'pAna', 'A', 'pyAyita', 'sarva', 'gAtram', 'dfzwvA', 'cintAm', 'A', 'pede']"
ppr. [1] md.,mbh03_14559.xml,jIvamAnaH,"['Goram', 'vratam', 'brAhmaRasya', 'etat', 'AhuH', 'etat', 'rAjan', 'yat', 'iha', 'a', 'jIvamAnaH']"
pfp,mbh12_13971.xml,lehya,"['api', 'ca', 'atra', 'mAlya', 'ABaraRa', 'vastra', 'aByaNga', 'ganDa', 'upaBoga', 'nftta', 'gita', 'vAditra', 'Sruti', 'suKa', 'nayana', 'aBirAma', 'saM', 'darSanAnAm', 'prAptiH', 'Bakzya', 'Bojya', 'peya', 'lehya', 'cozyAnam', 'aBI', 'ava', 'hAryARAm', 'viviDAnAm', 'upaBogaH', 'sva', 'dAra', 'vihAra', 'santozaH', 'kAma', 'suKa', 'ava', 'AptiH', 'iti']"
pcl_rel,pt1396.xml,yaH,"['pUjyaH', 'banDuH', 'api', 'priyaH', 'api', 'tanayaH', 'BrAtA', 'vayasyaH', 'api', 'vA', 'yaH', 'mohAt', 'an', 'avadya', 'kArya', 'vimuKaH', 'heyaH', 'sa', 'kArya', 'arTinA', 'loke', 'hi', 'praTitAH', 'nanu', 'SrutiH', 'iyam', 'na', 'arTaH', 'api', 'gAyanti', 'yAm', 'kim', 'kAryam', 'kanakena', 'tena', 'Bavati', 'CedAya', 'karRasya', 'yat']"
pcl_rel,pt1162.xml,yadi,"['yadi', 'sarvasya', 'lokasya', 'guRAH', 'kalyARa', 'kAriRaH', 'tat', 'kaTam', 'mfga', 'SAva', 'akzyAH', 'guRa', 'yogaH', 'dunoti', 'mAm']"
 ctp4,mbh12_26056.xml,eva,"['tasmAt', 'anantaram', 'viSvarUpa', 'gAtra', 'maTana', 'samBavam', 'tvazwf', 'ut', 'pAditam', 'eva', 'arim', 'vftram', 'indraH', 'jaGAna']"
 ctp4,mbh12_26160.xml,ArTam,"['nArAyaRaH', 'loka', 'hita', 'ArTam', 'vaqavAmuKaH', 'nAma', 'mahA', 'fziH', 'purA', 'aBavat']"
 adj ctp3,mbh03_14455.xml,SrAntaH,"['aTa', 'kzut', 'tfzRA', 'arditaH', 'SrAntaH', 'ati', 'mAtram', 'atimukta', 'AgAram', 'apaSyat']"
 adj ctp3,mbh03_14418.xml,ca,"['aTa', 'aDvani', 'jAta', 'SramaH', 'kzut', 'tfzRA', 'aBi', 'BUtaH', 'ca', 'kasmin', 'cit', 'uddeSe', 'nIlam', 'vana', 'zaRqam', 'apaSyat']"
vt8am,pt1632.xml,karoti,"['deSam', 'kAlam', 'kAryam', 'param', 'AtmAnam', 'ca', 'yaH', 'na', 'jAnAti', 'a', 'vi', 'mfSya', 'yaH', 'karoti', 'ca', 'na', 'sa', 'Palam', 'Apnoti', 'vE', 'mUrKaH']"
vt8am,pt1555.xml,karotu,"['BavAn', 'enAm', 'nirvizI', 'karotu']"
indefinite adj,pt672.xml,kaScid,"['aTa', 'evam', 'tasya', 'gacCataH', 'agre', 'kaScid', 'nadI', 'sam', 'A', 'yAtA']"
prap,mbh12_13977.xml,anu,"['vAna', 'prasTAH', 'Kalu', 'fzi', 'Darmam', 'anu', 'sarantaH', 'puRyAni', 'tIrTAni', 'nadI', 'prasravaRAni', 'su', 'vi', 'viktezu', 'araRyezu', 'mfga', 'mahiza', 'varAha', 'sfmara', 'gaja', 'AkIrRezu', 'tapasyantaH', 'anu', 'sam', 'caranti']"
prap,pt197.xml,dvizat,"['dvizat', 'dveza', 'paraH', 'nityam', 'izwAnAm', 'izwa', 'karma', 'kft', 'yaH', 'naraH', 'nara', 'nATasya', 'sa', 'Bavet', 'rAja', 'vallaBaH']"
num_cardinal,pt1004.xml,ekam,"['aTa', 'sA', 'vAyasI', 'kanaka', 'sUtram', 'ekam', 'A', 'dAya', 'sva', 'vfzA', 'aBimuKI', 'pra', 'tasTe']"
num_cardinal,pt1937.xml,ekaH,"['etEH', 'tAvat', 'SoBA', 'vacanAni', 'aBi', 'hitAni', 'na', 'ca', 'ekaH', 'api', 'svAminA', 'vi', 'nASitaH']"
cdvigu,mbh03_14417.xml,aSvena,"['tam', 'eka', 'aSvena', 'mfgam', 'anu', 'sarantam', 'mfgaH', 'dUram', 'apa', 'aharat']"
cdvigu,mbh12_13968.xml,GAtO,"['parivAda', 'upa', 'GAtO', 'ca', 'pAruzyam', 'ca', 'atra', 'garhitam']"
adj pfp. [1],mbh03_14547.xml,Sakyam,"['pra', 'yacCa', 'vAmyO', 'mama', 'pArTiva', 'tvam', 'kftam', 'hi', 'te', 'kAryam', 'anyEH', 'a', 'Sakyam']"
adj pfp. [1],mbh12_25955.xml,grAhyAt,"['etasyAm', 'avasTAyAm', 'nArAyaRa', 'guRa', 'aSrayAt', 'a', 'kzayAt', 'a', 'jarAt', 'an', 'indriyAt', 'a', 'grAhyAt', 'a', 'samBavAt', 'satyAt', 'a', 'hiMsrAt', 'lala', 'AmAt', 'viviDa', 'pravftti', 'viSezAt']"
vt6am,pt1538.xml,mocaya,"['mAm', 'asmAt', 'banDanAt', 'mocaya']"
vt6am,pt1040.xml,sicyate,"['yaTA', 'gOH', 'duhyate', 'kAle', 'pAlyate', 'ca', 'taTA', 'prajAH', 'sicyate', 'cIyate', 'ca', 'eva', 'latA', 'puzpa', 'Pala', 'pradA']"
ppr. ps.,mbh12_26125.xml,stUyamAnaH,"['tataH', 'sa', 'deva', 'rAw', 'devEH', 'fziBiH', 'stUyamAnaH', 'tri', 'vizwapa', 'sTaH', 'nizkalmazaH', 'baBUva']"
ppr. ps.,mbh03_14466.xml,kriyamARe,"['aTa', 'maRqUka', 'vaDe', 'Gore', 'kriyamARe', 'dikzu', 'sarvAsu', 'maRqUkAn', 'Bayam', 'A', 'aviSat']"
noun_ck,pt1875.xml,kzaRAt,"['yadi', 'evam', 'BUyaH', 'vadasi', 'tat', 'tvAm', 'tat', 'kzaRAt', 'eva', 'hanizyAmi', 'yataH', 'mayA', 'tasya', 'a', 'Baya', 'pradAnam', 'dattam']"
noun_ck,pt1937.xml,vacanAni,"['etEH', 'tAvat', 'SoBA', 'vacanAni', 'aBi', 'hitAni', 'na', 'ca', 'ekaH', 'api', 'svAminA', 'vi', 'nASitaH']"
 ctp upapada,mbh12_13955.xml,Pala,"['sam', 'A', 'vfttAnam', 'sa', 'dArARAm', 'sahaDarma', 'carya', 'Pala', 'arTinAm', 'gfha', 'ASramaH', 'vi', 'DIyate']"
 ctp3,mbh12_13910.xml,Darmam,"['an', 'ftAt', 'Kalu', 'tamaH', 'prAduH', 'BUtam', 'tamaH', 'grastAH', 'a', 'Darmam', 'eva', 'anu', 'vartante', 'na', 'Darmam']"
 ctp3,mbh03_14654.xml,goBiH,"['saraH', 'ca', 'idam', 'asya', 'dakziRA', 'dattABiH', 'goBiH', 'ati', 'kramamARABiH', 'kftam']"
pfp.,mbh12_13982.xml,mucya,"['vi', 'mucya', 'agni', 'Dana', 'kalatra', 'paribarha', 'saNgAn', 'AtmanaH', 'sneha', 'pASAn', 'ava', 'DUya', 'pari', 'vrajanti', 'sama', 'lozwa', 'aSma', 'kAYcanAH', 'tri', 'varga', 'pra', 'vfttezu', 'AramBezu', 'a', 'sakta', 'budDayaH', 'ari', 'mitra', 'ud', 'AsInezu', 'tulya', 'vfttayaH', 'sTAvara', 'jara', 'Ayuja', 'aRqaja', 'svedaja', 'ud', 'BijjAnAm', 'BUtAnAm', 'vAk', 'manaH', 'karmaBiH', 'an', 'aBi', 'drohiRaH', 'a', 'niketAH', 'parvata', 'pulina', 'vfkza', 'mUla', 'devata', 'yatanAni', 'anu', 'carantaH', 'vAsa', 'ArTam', 'upa', 'IyuH', 'nagaram', 'grAmam', 'vA', 'nagare', 'paYca', 'rAtrikAH', 'grAma', 'eka', 'rAtrikAH']"
ca. pfp. [3],mbh03_14439.xml,darSayitavyam,"['udakam', 'me', 'na', 'darSayitavyam', 'iti']"
ctp6,mbh12_26087.xml,samIpam,"['sA', 'upaSrutiH', 'SacI', 'samIpam', 'agAt']"
ctp6,mbh03_14459.xml,salilam,"['sADu', 'ava', 'tara', 'vApI', 'salilam', 'iti']"
pp. ctp5,mbh12_26159.xml,kfta,"['tatra', 'tasya', 'anila', 'vyajana', 'kfta', 'paritozasya', 'sadyaH', 'vanaspatayaH', 'puzpa', 'SoBAm', 'na', 'darSitavantaH', 'iti', 'saH', 'etAn', 'SaSApa', 'na', 'sarva', 'kAlam', 'puzpavantaH', 'BavizyaTa', 'iti']"
pap,pt1637.xml,hitavatI,"['tat', 'ca', 'smftvA', 'tat', 'vacanam', 'prati', 'padya', 'aBi', 'hitavatI']"
pap,pt1682.xml,ca,"['aTa', 'te', 'siMha', 'AdayaH', 'tat', 'A', 'karRya', 'SfgAlaH', 'ayam', 'iti', 'matvA', 'sa', 'lajjA', 'aDo', 'muKAH', 'kzaRam', 'ekam', 'tasTuH', 'uktavantaH', 'ca']"
noun_gerundive_ya,pt1411.xml,rAjya,"['mUla', 'Bftya', 'uparoDena', 'na', 'hi', 'A', 'gantum', 'pra', 'pUjayet', 'na', 'ataH', 'parataraH', 'anyaH', 'asti', 'rAjya', 'Beda', 'karaH', 'karaH', 'gadaH', 'gadaH']"
noun_gerundive_ya,pt1561.xml,rAjya,"['tena', 'ca', 'svakIya', 'kuwumbam', 'A', 'nIya', 'suhft', 'sva', 'jana', 'sama', 'itena', 'Bojana', 'Adi', 'kriyA', 'pari', 'tuzwena', 'an', 'eka', 'maKa', 'karaRa', 'arjita', 'puRya', 'prAk', 'BAreRa', 'sakala', 'rAjya', 'cintA', 'sam', 'Bfta', 'ADipatyena', 'suKam', 'anu', 'BUyate', 'sma']"
 adj cab,mbh03_14426.xml,puzpARi,"['aTa', 'apaSyat', 'kanyAm', 'parama', 'rUpa', 'darSanIyAm', 'puzpARi', 'ava', 'cinvatIm', 'gAyantIm', 'ca']"
 adj cbv,pt977.xml,vA,"['varam', 'vi', 'hAraH', 'saha', 'pannagEH', 'kftaH', 'SaWa', 'AtmaBiH', 'vA', 'ripuBiH', 'saha', 'uzitam', 'a', 'Darma', 'yuktEH', 'capalEH', 'a', 'paRqitEH', 'na', 'pApa', 'mitrEH', 'saha', 'vartitum', 'kzamam']"
 adj cbv,pt1153.xml,sTAnezu,"['aTa', 'kadA', 'cit', 'kasmin', 'cit', 'sam', 'jAta', 'mahA', 'utsave', 'sarvaH', 'eva', 'pOra', 'janaH', 'yaTA', 'viBava', 'Bfta', 'alaNkAraH', 'devatA', 'Ayatana', 'Adizu', 'sTAnezu', 'pari', 'Bramitum', 'pra', 'vfttaH']"
adv,mbh03_14459.xml,sADu,"['sADu', 'ava', 'tara', 'vApI', 'salilam', 'iti']"
adv,mbh12_13980.xml,agnivat,"['sa', 'dahet', 'agnivat', 'dozAn', 'jayet', 'lokAn', 'ca', 'durjayAn']"
prap_desid,pt1358.xml,vivakzuH,"['kim', 'BavAn', 'vivakzuH', 'iti']"
prap_desid,pt1362.xml,cikIrzuH,"['tat', 'enam', 'hftvA', 'svayam', 'eva', 'aham', 'suKena', 'rAjyam', 'grahIzyAmi', 'adya', 'eva', 'ayam', 'saYjIvakaH', 'enam', 'arTam', 'cikIrzuH', 'asti']"
adj ctp2,mbh12_13955.xml,gfha,"['sam', 'A', 'vfttAnam', 'sa', 'dArARAm', 'sahaDarma', 'carya', 'Pala', 'arTinAm', 'gfha', 'ASramaH', 'vi', 'DIyate']"
adj ctp2,mbh12_25999.xml,pradasya,"['vAk', 'samakAlam', 'hi', 'tasya', 'devasya', 'vara', 'pradasya', 'brAhmaRAH', 'praTamam', 'prAduH', 'BUtAH', 'brAhmaReByaH', 'ca', 'SezAH', 'varRAH', 'prAduH', 'BUtAH']"
adv_rel,pt1643.xml,yadA,"['mada', 'Srama', 'nidrA', 'parIta', 'kAyaH', 'yadA', 'nf', 'patiH', 'Bavati', 'tadA', 'niBftam', 'pAdayoH', 'tvayA', 'daMzwavyaH', 'etO', 'deSa', 'kAlO']"
adv_rel,pt1867.xml,yAvat,"['tat', 'tizWantu', 'BavantaH', 'atra', 'eva', 'yAvat', 'aham', 'gfham', 'gatvA', 'svAmi', 'vacanam', 'A', 'nayAmi']"
vt9am,pt1632.xml,jAnAti,"['deSam', 'kAlam', 'kAryam', 'param', 'AtmAnam', 'ca', 'yaH', 'na', 'jAnAti', 'a', 'vi', 'mfSya', 'yaH', 'karoti', 'ca', 'na', 'sa', 'Palam', 'Apnoti', 'vE', 'mUrKaH']"
noun_pn_ctp_dvigu,pt703.xml,kratuH,"['svAgatena', 'agnayaH', 'prItAH', 'Asanena', 'Sata', 'kratuH', 'pAda', 'SOcena', 'govindaH', 'anna', 'Adyena', 'prajA', 'patiH']"
ctp upapada,mbh12_25970.xml,vAdaH,"['mantra', 'vAdaH', 'api', 'hi', 'Bavati']"
ctp upapada,mbh12_13903.xml,cArI,"['brahma', 'cArI', 'na', 'kAma', 'suKezu', 'AtmAnam', 'ava', 'daDAti']"
iic.,pt52.xml,mahilA,"['dAkziRAtyezu', 'jana', 'padezu', 'purandarapurasya', 'fdDi', 'sarva', 'guRa', 'sam', 'pannam', 'pfTivyAH', 'cUqA', 'maRi', 'ratna', 'BUtam', 'kElAsa', 'SiKara', 'Akfti', 'viviDa', 'yantra', 'praharaRa', 'AcaraRa', 'pari', 'pUrRa', 'go', 'pura', 'awwAlakam', 'visaNkawa', 'utkawa', 'dfQa', 'pariGa', 'kapAwa', 'toraRa', 'argala', 'upagata', 'indra', 'kIla', 'vipula', 'dvAram', 'su', 'vi', 'hita', 'SfNgAwaka', 'catuzpaTa', 'prati', 'sTita', 'an', 'eka', 'devatA', 'Ayatanam', 'pariKA', 'pari', 'karita', 'ut', 'Srita', 'hima', 'giri', 'sadfSa', 'AkAra', 'prAkAra', 'valaya', 'pari', 'vezwitam', 'mahilA', 'ropyam', 'nAma', 'nagaram']"
iic.,pt316.xml,Sakti,"['Sakti', 'vEkalya', 'namrasya', 'niHsAratvAt', 'laGIyasaH', 'janminaH', 'mAna', 'hInasya', 'tfRasya', 'ca', 'samA', 'gatiH']"
gerundive_tavya_cau,pt1479.xml,tArayitavyaH,"['etat', 'matvA', 'na', 'ut', 'tArayitavyaH', 'ayam', 'na', 'ca', 'asya', 'viSvAsam', 'anu', 'gantavyam']"
gerundive_tavya_cau,pt425.xml,dApayitavyaH,"['tat', 'yadi', 'mAm', 'avaSyam', 'tatra', 'nayasi', 'tataH', 'a', 'Baya', 'prasAdaH', 'svAminaH', 'sakASAt', 'dApayitavyaH']"
vt1m 6am,pt624.xml,muYcati,"['tataH', 'sa', 'na', 'kasya', 'cit', 'vi', 'Svasiti', 'naktam', 'dinam', 'kakzA', 'antarAt', 'tAm', 'na', 'muYcati']"
adj_ctp_gati,pt677.xml,viSvastaH,"['deva', 'SarmA', 'api', 'CAttra', 'guRa', 'gaRa', 'anu', 'raYjita', 'manAH', 'su', 'viSvastaH', 'upa', 'vizwaH', 'yAvat', 'tizWati', 'tAvat', 'huqa', 'yUTa', 'maDye', 'huqa', 'yugala', 'yudDam', 'apaSyat']"
adj_ctp_gati,pt748.xml,virUpaH,"['yadyapi', 'na', 'Bavati', 'dEvAt', 'pumAn', 'virUpaH', 'api', 'banDukI', 'rahasi', 'Badram', 'api', 'tat', 'api', 'kazwAt', 'nija', 'kAntam', 'sA', 'Bajati', 'eva']"
cvi,mbh12_26011.xml,kaluzI,"['yasmAt', 'mama', 'upa', 'spfSataH', 'kaluzI', 'BUtAH', 'na', 'prasAdam', 'upa', 'gatAH', 'tasmAt', 'adya', 'praBfti', 'Jaza', 'makara', 'matsya', 'kacCapa', 'jantu', 'sam', 'kIrRAH', 'kaluzI', 'Bavata', 'iti']"
cvi,pt1770.xml,vfdDI,"['tizWan', 'aham', 'iha', 'AvAse', 'vfdDI', 'BUtaH', 'na', 'ca', 'anyAm', 'aham', 'kAm', 'cit', 'api', 'diSam', 'jAnAmi']"
gerundive_ya,pt1924.xml,Bakzyam,"['na', 'a', 'Bakzyam', 'Bakzayet', 'prAjYaH', 'prAREH', 'kaRWa', 'gatEH', 'api', 'viSezAt', 'tat', 'api', 'stokam', 'loka', 'dvaya', 'vinASi', 'ca']"
gerundive_ya,pt44.xml,itya,"['te', 'api', 'tAni', 'aDi', 'itya', 'mAsa', 'zawkena', 'yaToktAH', 'sam', 'jAtAH']"
pfap,pt1812.xml,vidvadBiH,"['siMhEH', 'paYjara', 'yantraRA', 'pariBava', 'prasnAna', 'dIna', 'AnanEH', 'nAgEH', 'aNkuSa', 'Binna', 'mastaka', 'puwEH', 'mantra', 'a', 'lasEH', 'pannagEH', 'vidvadBiH', 'ca', 'nirASraya', 'vyasaniBiH', 'SUrEH', 'ca', 'BAgya', 'kzatEH', 'kAlaH', 'krIqanakEH', 'iva', 'Atma', 'rucitEH', 'preNKolayan', 'krIqati']"
vt3am,pt1931.xml,dIyatAm,"['dIyatAm', 'mama', 'a', 'kzayaH', 'svarga', 'vAsaH']"
vt3am,pt1095.xml,Datte,"['Satam', 'ekaH', 'api', 'sam', 'Datte', 'prAkAra', 'sTaH', 'DanuH', 'DaraH', 'tasmAt', 'durgam', 'pra', 'SaMsanti', 'nIti', 'SAstra', 'vicakzaRAH']"
vt6a,pt1203.xml,izyate,"['vayasyaH', 'enam', 'A', 'ruhya', 'kIlikAm', 'dattvA', 'yatra', 'izyate', 'tatra', 'gamyate']"
